Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Сыворотка творожная,"
            0.8          ","
            0.2          ","
            3.5          ","
            20          "
Сыр Almette с белыми грибами,"
            6.0          ","
            23.0          ","
            5.0          ","
            251          "
Сыр Almette с зеленью,"
            6.0          ","
            20.0          ","
            3.0          ","
            216          "
Сыр Almette с йогуртом,"
            7.0          ","
            15.0          ","
            5.0          ","
            183          "
Сыр Almette с огурцами и зеленью,"
            5.0          ","
            20.0          ","
            3.0          ","
            212          "
Сыр Almette с хреном,"
            6.0          ","
            20.0          ","
            4.0          ","
            220          "
Сыр Almette с чесноком,"
            6.0          ","
            20.0          ","
            3.0          ","
            216          "
Сыр Almette сливочный,"
            6.0          ","
            20.0          ","
            3.0          ","
            216          "
Сыр Artis для жарки на сковороде и гриле 45%,"
            21.0          ","
            22.0          ","
            1.0          ","
            282          "
Сыр Bogda Milk Эгейский свежий 45%,"
            16.5          ","
            18.0          ","
            0.0          ","
            228          "
Сыр Bonfesto Cremolle вяленые томаты,"
            6.8          ","
            22.1          ","
            4.4          ","
            240          "
Сыр Bonfesto Cremolle солёные огурцы,"
            7.2          ","
            22.4          ","
            2.1          ","
            240          "
Сыр Bonfesto Mozzarella Pizza,"
            18.4          ","
            20.3          ","
            0.0          ","
            256          "
Сыр Bonfesto Ricotta Light мягкий,"
            11.3          ","
            10.0          ","
            2.5          ","
            145          "
Сыр Bonvida Моцарелла для пиццы,"
            17.0          ","
            16.8          ","
            3.0          ","
            231          "
Сыр Brie Les Chateaux De France 32%,"
            17.0          ","
            32.0          ","
            2.0          ","
            364          "
Сыр Comella рассольный,"
            13.5          ","
            13.3          ","
            5.0          ","
            194          "
Сыр Dolce Granto Пармезан 40%,"
            30.0          ","
            28.0          ","
            0.0          ","
            372          "
Сыр Emborg Professional творожный 65%,"
            6.0          ","
            28.3          ","
            3.0          ","
            290          "
Сыр Exquisa творожный с зеленью,"
            6.7          ","
            22.0          ","
            3.0          ","
            237          "
Сыр Exquisa творожный с лососем,"
            6.7          ","
            21.5          ","
            3.5          ","
            235          "
Сыр Fallini Rapesan тёртый,"
            49.5          ","
            29.2          ","
            4.4          ","
            478          "
Сыр Grill Akadia,"
            17.0          ","
            19.0          ","
            3.0          ","
            245          "
Сыр Hochland Bleu,"
            15.0          ","
            39.0          ","
            1.0          ","
            415          "
Сыр Hochland плавленый ассорти,"
            10.0          ","
            27.0          ","
            5.0          ","
            303          "
Сыр Hochland плавленый Маасдам ломтики,"
            12.0          ","
            22.0          ","
            7.0          ","
            270          "
Сыр Hochland плавленый с ветчиной ломтики,"
            14.3          ","
            23.2          ","
            4.2          ","
            282          "
Сыр Hochland плавленый с огурцами и укропом ломтики,"
            15.0          ","
            21.0          ","
            5.0          ","
            269          "
Сыр Hochland плавленый с салями и специями ломтики,"
            13.0          ","
            24.0          ","
            4.0          ","
            284          "
Сыр Hochland плавленый Сэндвич ломтики,"
            14.0          ","
            23.0          ","
            4.0          ","
            279          "
Сыр Hochland плавленый Чизбургер ломтики,"
            14.0          ","
            23.0          ","
            4.0          ","
            279          "
Сыр Hochland творожный с зеленью,"
            6.0          ","
            20.0          ","
            2.0          ","
            212          "
Сыр Hochland творожный сливочный,"
            6.5          ","
            22.7          ","
            3.6          ","
            245          "
Сыр Hochland Фетакса Классическая в рассоле 45%,"
            11.0          ","
            14.5          ","
            2.0          ","
            183          "
Сыр Laime Пармезан,"
            35.0          ","
            24.0          ","
            0.0          ","
            342          "
Сыр Mlekovita Twarog Hanusi кисломолочный 6.5%,"
            9.0          ","
            6.5          ","
            4.0          ","
            111          "
Сыр Molli творожный 27%,"
            6.0          ","
            27.0          ","
            3.0          ","
            306          "
Сыр Mr.Chedd Чеддер Red 45%,"
            24.8          ","
            25.5          ","
            0.0          ","
            329          "
Сыр Old Amsterdam,"
            6.2          ","
            39.0          ","
            0.0          ","
            407          "
Сыр Pinar Labne мягкий,"
            4.5          ","
            18.0          ","
            3.6          ","
            194          "
Сыр Premier of Taste мягкий с зеленью и огурчиком,"
            4.4          ","
            16.9          ","
            2.8          ","
            182          "
Сыр President Cream Cheese сливочный творожный,"
            5.5          ","
            24.0          ","
            2.7          ","
            249          "
Сыр President Creme de Bleu 50%,"
            12.0          ","
            22.0          ","
            3.5          ","
            260          "
Сыр President Rondele козий,"
            9.0          ","
            10.5          ","
            4.0          ","
            354          "
Сыр President Rondele творожный,"
            7.0          ","
            31.0          ","
            2.5          ","
            317          "
Сыр President Rondele творожный с орехами,"
            6.5          ","
            31.0          ","
            2.5          ","
            315          "
Сыр President Rondele творожный с чесноком и травами,"
            6.8          ","
            31.2          ","
            4.2          ","
            325          "
Сыр President Мастер Бутерброда Лёгкий,"
            16.5          ","
            8.5          ","
            9.5          ","
            185          "
Сыр President Мастер Бутерброда Мааздам,"
            13.5          ","
            17.5          ","
            6.0          ","
            240          "
Сыр President Мастер Бутерброда Моцарелла,"
            9.0          ","
            20.0          ","
            6.5          ","
            281          "
